year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2010,Afghanistan,288 ,136 ,542 ,159 ,68 ,57 ,108 ,60 ,147 ,86 ,131 ,231 ,9908 ,10542 ,3022 ,3745 ,5141 ,5562 ,6365 ,11335 ,11615 ,8801 ,7912 ,10836 
2010,Egypt,47 ,59 ,41 ,31 ,47 ,69 ,48 ,44 ,110 ,73 ,24 ,125 ,1652 ,944 ,306 ,611 ,704 ,717 ,905 ,1845 ,2956 ,1285 ,1720 ,1888 
2010,Pakistan,857 ,621 ,97 ,294 ,257 ,481 ,1308 ,1074 ,1338 ,407 ,649 ,4303 ,7644 ,7277 ,2973 ,2718 ,5463 ,2923 ,3538 ,7659 ,7583 ,8210 ,5488 ,5905 
2010,Palestine,40 ,16 ,10 ,28 ,54 ,51 ,6 ,11 ,20 ,49 ,51 ,29 ,1780 ,1075 ,1164 ,984 ,1343 ,1724 ,1225 ,3200 ,5750 ,1507 ,1845 ,2970 
2010,Belarus,29 ,10 ,189 ,14 ,29 ,24 ,30 ,37 ,103 ,118 ,11 ,77 ,52 ,22 ,26 ,91 ,29 ,77 ,50 ,76 ,51 ,35 ,74 ,710 
2010,Russia,1116 ,896 ,1247 ,981 ,1230 ,1211 ,658 ,937 ,4083 ,1328 ,3985 ,2503 ,4613 ,4901 ,2790 ,5888 ,2771 ,5881 ,8004 ,6615 ,6354 ,5467 ,8882 ,10164 
2010,Philippines,207 ,311 ,62 ,126 ,121 ,169 ,145 ,2088 ,869 ,458 ,342 ,860 ,1176 ,1001 ,214 ,387 ,423 ,455 ,521 ,1700 ,1899 ,831 ,1346 ,1355 
2010,Kazakhstan,102 ,127 ,24 ,74 ,113 ,259 ,50 ,44 ,268 ,63 ,227 ,437 ,78 ,108 ,38 ,377 ,41 ,33 ,60 ,161 ,263 ,193 ,513 ,301 
2010,Czech,80 ,12 ,,5 ,4 ,11 ,10 ,3 ,2 ,52 ,23 ,17 ,257 ,222 ,251 ,844 ,139 ,67 ,166 ,261 ,354 ,252 ,254 ,543 
2010,Malaysia,436 ,617 ,120 ,319 ,136 ,96 ,128 ,354 ,435 ,368 ,358 ,242 ,800 ,416 ,180 ,477 ,224 ,184 ,180 ,402 ,612 ,459 ,1089 ,494 
2010,Mongolia,47 ,64 ,7 ,156 ,163 ,174 ,47 ,156 ,89 ,143 ,22 ,136 ,63 ,38 ,13 ,21 ,13 ,14 ,45 ,67 ,26 ,40 ,26 ,34 
2010,Burma,147 ,127 ,56 ,133 ,96 ,458 ,216 ,178 ,1239 ,164 ,449 ,250 ,359 ,527 ,224 ,89 ,305 ,272 ,178 ,314 ,327 ,317 ,1107 ,405 
2010,Saudi Arabia,328 ,186 ,39 ,97 ,58 ,29 ,57 ,46 ,58 ,192 ,133 ,255 ,1099 ,1738 ,257 ,395 ,336 ,707 ,470 ,1288 ,1380 ,1215 ,2181 ,1481 
2010,Sri Lanka,63 ,97 ,22 ,63 ,58 ,98 ,62 ,229 ,277 ,198 ,304 ,152 ,531 ,499 ,110 ,150 ,145 ,164 ,235 ,397 ,454 ,160 ,205 ,247 
2010,Tajikistan,96 ,40 ,13 ,117 ,34 ,93 ,28 ,40 ,31 ,39 ,311 ,41 ,82 ,84 ,23 ,61 ,24 ,25 ,63 ,70 ,180 ,27 ,51 ,63 
2010,Thailand,233 ,250 ,81 ,234 ,98 ,64 ,104 ,260 ,266 ,244 ,483 ,296 ,414 ,553 ,179 ,739 ,580 ,195 ,280 ,1445 ,845 ,628 ,868 ,544 
